"","RK","NAME","TEAM","SALARY","POSITION"
"316","316","Ben Sheppard","Indiana Pacers",2537160,"G"
"317","317","Damion Lee","Phoenix Suns",2528233,"SG"
"318","318","Thomas Bryant","Miami Heat",2528233,"C"
"319","319","Torrey Craig","Chicago Bulls",2528233,"SF"
"320","320","Blake Wesley","San Antonio Spurs",2504640,"G"
"321","321","Josh Christopher","Utah Jazz",2485200,"SG"
"322","322","Nick Smith Jr.","Charlotte Hornets",2463960,"G"
"323","323","Brice Sensabaugh","Utah Jazz",2448600,"F"
"324","324","Ty Jerome","Cleveland Cavaliers",2439025,"SG"
"325","325","Julian Strawther","Denver Nuggets",2431080,"G"
"326","326","Wendell Moore Jr.","Minnesota Timberwolves",2421720,"G"
"327","327","Kobe Brown","LA Clippers",2413320,"G"
"328","328","PJ Dozier","Sacramento Kings",2413304,"G"
"329","329","Luke Kornet","Boston Celtics",2413304,"C"
"330","330","John Konchar","Memphis Grizzlies",2400000,"SG"
"331","331","Quentin Grimes","Detroit Pistons",2385720,"SG"
"332","332","Keita Bates-Diop","Brooklyn Nets",2364614,"SF"
"333","333","Nikola Jovic","Miami Heat",2352000,"F"
"334","334","Yuta Watanabe","Memphis Grizzlies",2346614,"SF"
"335","335","Drew Eubanks","Phoenix Suns",2346614,"PF"
"336","336","Patrick Baldwin Jr.","Washington Wizards",2337720,"F"
"337","337","Jordan McLaughlin","Minnesota Timberwolves",2320000,"PG"
"338","338","Bones Hyland","LA Clippers",2306400,"PG"
"339","339","Peyton Watson","Denver Nuggets",2303520,"F"
"340","340","Cam Thomas","Brooklyn Nets",2240160,"SG"
"341","341","Vlatko Cancar","Denver Nuggets",2234359,"SF"
"342","342","Vince Williams Jr.","Memphis Grizzlies",2232308,"G"
"343","343","Jaden Springer","Boston Celtics",2226240,"G"
"344","344","Day'Ron Sharpe","Brooklyn Nets",2210040,"C"
"345","345","Jeremiah Robinson-Earl","New Orleans Pelicans",2196970,"F"
"346","346","Santi Aldama","Memphis Grizzlies",2194200,"PF"
"347","347","Jaxson Hayes","Los Angeles Lakers",2165000,"C"
"348","348","Cam Reddish","Los Angeles Lakers",2165000,"SF"
"349","349","Oshae Brissett","Boston Celtics",2165000,"SF"
"350","350","Andrew Nembhard","Indiana Pacers",2131905,"PG"
"351","351","Kobi Simmons","Toronto Raptors",2066585,"G"
"352","352","Luka Samanic","Utah Jazz",2066585,"F"
"353","353","Isaiah Roby","New York Knicks",2066585,"F"
"354","354","Goga Bitadze","Orlando Magic",2062585,"C"
"355","355","Tristan Thompson","Cleveland Cavaliers",2019796,"C"
"356","356","Sandro Mamukelashvili","San Antonio Spurs",2019760,"PF"
"357","357","Alex Len","Sacramento Kings",2019760,"C"
"358","358","Montrezl Harrell","Philadelphia 76ers",2019760,"C"
"359","359","Malik Beasley","Milwaukee Bucks",2019760,"SG"
"360","360","Jae Crowder","Milwaukee Bucks",2019760,"PF"
"361","361","Frank Ntilikina","Charlotte Hornets",2019706,"PG"
"362","362","Ish Smith","Charlotte Hornets",2019706,"PG"
"363","363","Colby Jones","Sacramento Kings",2019706,"G"
"364","364","Nerlens Noel","Sacramento Kings",2019706,"C"
"365","365","JaVale McGee","Sacramento Kings",2019706,"C"
"366","366","Robin Lopez","Milwaukee Bucks",2019706,"C"
"367","367","Dalano Banton","Portland Trail Blazers",2019706,"G"
"368","368","Moses Brown","Portland Trail Blazers",2019706,"C"
"369","369","Bol Bol","Phoenix Suns",2019706,"C"
"370","370","Mo Bamba","Philadelphia 76ers",2019706,"C"
"371","371","Kelly Oubre Jr.","Philadelphia 76ers",2019706,"SG"
"372","372","Danny Green","Philadelphia 76ers",2019706,"F"
"373","373","Trendon Watford","Brooklyn Nets",2019706,"PF"
"374","374","Lonnie Walker IV","Brooklyn Nets",2019706,"G"
"375","375","Dennis Smith Jr.","Brooklyn Nets",2019706,"PG"
"376","376","Thanasis Antetokounmpo","Milwaukee Bucks",2019706,"SF"
"377","377","Patrick Beverley","Milwaukee Bucks",2019706,"PG"
"378","378","Cory Joseph","Golden State Warriors",2019706,"PG"
"379","379","Aaron Holiday","Houston Rockets",2019706,"G"
